time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010511349642	129.948	13.708	2.28504	0.207208	-0.0206292	lidar	0.540386	129.947	13.6963	130.042	13.7853	2.50232	0.621879
1477010511349642	130.029	13.7186	2.49744	0.197838	-0.0290855	radar	1.39034	130.334	13.781	130.042	13.7853	2.50232	0.621879
1477010512349642	132.092	14.5019	2.56897	0.394973	0.113391	lidar	0.0823066	132.092	14.507	132.53	14.458	2.55028	0.74543
1477010512349642	132.163	14.5079	2.80381	0.38067	0.0929728	radar	1.02799	132.447	14.3423	132.53	14.458	2.55028	0.74543
1477010513349642	135.06	15.0521	3.72879	0.0389048	-0.179487	lidar	0.59492	135.074	15.0475	135.066	15.2513	2.58865	0.863795
1477010513349642	135.026	15.0298	2.95445	-0.0405768	-0.268104	radar	1.41128	135.127	14.6575	135.066	15.2513	2.58865	0.863795
1477010514349642	137.561	16.1962	2.74669	0.59423	0.302984	lidar	1.33796	137.561	16.2147	137.639	16.1592	2.61821	0.974442
1477010514349642	137.596	16.1915	3.18984	0.528	0.214439	radar	0.355609	137.653	16.5145	137.639	16.1592	2.61821	0.974442
1477010515349642	140.324	17.0166	3.1445	0.226927	-0.119847	lidar	0.530943	140.331	17.008	140.242	17.1733	2.63994	1.07503
1477010515349642	140.325	17.0134	3.04527	0.227192	-0.113738	radar	0.0731131	140.305	17.5379	140.242	17.1733	2.63994	1.07503
1477010516349642	142.888	17.9869	3.17112	0.365046	0.0462387	lidar	0.105991	142.888	17.9918	142.868	18.2829	2.65497	1.16346
1477010516349642	142.84	17.9813	3.05769	0.37078	0.0528382	radar	0.521638	142.626	18.1458	142.868	18.2829	2.65497	1.16346
1477010517349642	145.389	19.1606	3.3754	0.428028	0.0553356	lidar	0.0288252	145.392	19.1617	145.51	19.4754	2.66445	1.23795
1477010517349642	145.458	19.1714	3.25801	0.442433	0.101886	radar	1.76214	145.789	19.3785	145.51	19.4754	2.66445	1.23795
1477010518349642	148.244	20.4754	3.77439	0.412841	0.0180702	lidar	0.115765	148.251	20.4754	148.163	20.7364	2.66951	1.29702
1477010518349642	148.205	20.4694	3.24022	0.485705	0.156876	radar	0.780694	148.146	20.9376	148.163	20.7364	2.66951	1.29702
1477010519349642	150.683	22.113	3.56653	0.62644	0.146138	lidar	0.030969	150.686	22.1142	150.825	22.0502	2.67111	1.33953
1477010519349642	150.667	22.1105	3.5267	0.632943	0.155353	radar	0.0564707	150.649	21.8148	150.825	22.0502	2.67111	1.33953
1477010520349642	153.417	23.4966	3.41406	0.407179	-0.0853301	lidar	0.315352	153.422	23.4909	153.491	23.3999	2.66999	1.3647
1477010520349642	153.391	23.485	3.1477	0.453859	-0.0112424	radar	0.259199	153.466	22.9115	153.491	23.3999	2.66999	1.3647
1477010521349642	156.042	24.8075	3.54991	0.417097	-0.0276833	lidar	0.0488362	156.047	24.8084	156.159	24.7682	2.66666	1.37208
1477010521349642	156.016	24.8046	3.03835	0.466895	0.074093	radar	0.586646	156.009	25.0678	156.159	24.7682	2.66666	1.37208
1477010522349642	158.893	26.0307	3.94326	0.330973	-0.0604993	lidar	0.334162	158.905	26.0308	158.827	26.1372	2.66127	1.36157
1477010522349642	158.887	26.0255	3.40088	0.365862	0.0258004	radar	1.06686	159.014	26.1903	158.827	26.1372	2.66127	1.36157
1477010523349642	161.414	27.4238	3.32452	0.524394	0.109752	lidar	0.0320336	161.412	27.4256	161.493	27.4891	2.65371	1.33344
1477010523349642	161.439	27.4307	3.11368	0.545645	0.158842	radar	0.424053	161.529	27.8454	161.493	27.4891	2.65371	1.33344
1477010524349642	163.625	28.7715	2.93399	0.543379	0.0567692	lidar	0.050217	163.625	28.7683	164.155	28.8064	2.64354	1.28825
1477010524349642	163.736	28.7912	3.11307	0.524126	0.0457881	radar	2.99122	164.116	29.315	164.155	28.8064	2.64354	1.28825
